Antigua and Barbuda,"
 Antigua is perhaps the island which most typifies the modern day view of a small Caribbean destination. With few other natural resources, tourism dominates the local economy of both islands. Stunning white sand beaches abound, and on Antigua there is no shortage of attendant high-end resorts.  Barbuda still has the beaches but little tourism-based infrastructure.
"
Honduras,"Honduras [1] is the second biggest country in Central America. It has colonial villages (Gracias, Comayagua), ancient Maya ruins (Copan), natural parks (Moskitia), and a Pacific and Caribbean coastline and the Bay Islands, with great beaches and coral reefs where snorkeling and diving are exceptional by any standard. 
 The country is bordered by Guatemala to the northwest, El Salvador to the south and Nicaragua to the southeast. 
"
Hungary,"You can expect to find safe food and water, good safety and a generally stable political climate.
 Hungary doesn't attract terrorists and keeps drug and crime levels moderate. 
"
Greenland,"
 Although some maps with flat projections of the globe tend to make Greenland look the size of Africa, it is actually ""only"" about the size of Mexico. Greenland has the world's lowest population density.
"
India,"India is the seventh largest country in the world by area and, with over a billion people, is second only to China in population, although its much higher birthrate makes it likely to reach pole position in less than ten years. 
 It is an extremely diverse country, with vast differences in geography, climate, culture, language and ethnicity across its expanse, and prides itself on being the largest democracy on Earth.
"
Croatia,"Croatia (Croatian: Hrvatska) is a country situated in Southeast Europe. It is to the east side of the Adriatic Sea, to the east of Italy. It is also bordered by  Slovenia to the northwest, Hungary to the north, Bosnia and Herzegovina to the southeast, Serbia in the east, and Montenegro to the south.
 Geographically diverse; flat agricultural plains along the Hungarian border (Central European area), low mountains and highlands near the Adriatic coastline and islands. There are 1,246 islands; the largest ones are Krk and Cres. The highest point is Dinara, at 1,830m.
"
Korea,"The peninsula is divided into two de facto countries, although neither government acknowledges the other as a legitimate sovereign state:
 
"
Serbia,"
 During the summer tourists love spending their time in Belgrade and enjoy the nature of many national parks throughout the country. In winter, they are warmly welcomed to mountain resorts (one of the most popular being Kopaonik, featured on BBC as one of the best ski destinations in Europe). There are also many spa resorts such as Sokobanja, Niška Banja and Vrnjačka Banja. 
"
Iraq,"Although the north east provinces which comprise Iraqi Kurdistan can be considered safe for foreigners, the margins for error are small. While no foreign deaths have occurred in this province since the 2003 Iraq invasion, many foreign deaths have occurred elsewhere in Iraq. 
 If it is necessary to visit, then remain cautious at all times, and consult your embassy before you leave. For further information, see war zone safety.
"
Suriname,"Tropical; moderated by trade winds; yearly rain average 2200 mm. There are 2 dry seasons (February to March, August to November) and 2 rainy seasons (December to January, April to August). November is the generally the hottest month.
 Mostly rolling hills, rising towards maximum of around 1000 meters in the south; narrow coastal plain with mangrove swamps. Mostly tropical rain forest; great diversity of flora and fauna that is in excellent condition, though is increasingly threatened by new development.
"
Madagascar,"The first people arrived in Madagascar between 350 BC and 550 AD from Borneo on outrigger canoes. These Austronesian first settlers were joined around 1000 AD by Bantu migrants crossing the Mozambique Channel.
 Other groups such as Arabs, Indians, and Chinese continued to settle on Madagascar over time, each one making lasting contributions to Malagasy cultural life. The Malagasy way of thinking includes a mixture of cultures, as well as their appearance and fashion style. It is a melting pot. Madagascar is part of the African Union, but that is now being reconsidered due to the recent 2009 political turmoil regarding the African Union members.
"
New Caledonia,"New Caledonia offers beaches, mountaintop fondue in chalets, camping, hiking, amazing snorkelling and diving, and fabulous French food.
 The people of New Caledonia belong to 5 major ethnic groups:
"
Senegal,"Tropical; hot, humid; rainy season (May to November) has strong southeast winds; dry season (December to April) dominated by hot, dry, harmattan wind; Natural hazards : lowlands seasonally flooded; periodic droughts.
 Generally low, rolling, plains rising to foothills in southeast
"
Saint Kitts and Nevis,"
 As if it were the custom in the Caribbean, St-Kitts and Nevis changed hands many times between English and French, which has left it a heritage of cities with names from both countries. Contrariwise, the architecture there is very Anglo-Saxon (Style Victorian) with driving on left and especially in downtown Basseterre: Circus Place the reproduction of the 'Berkeley Memorial Clock'.
"
Oman,"Until Sultan Qaboos bin Said exiled the previous Sultan in 1970, Oman was an under-developed nation, and almost completely closed to visitors. Since that time, education, public works and tourism have taken off throughout the country. 
 Omanis are friendly people and are very helpful to tourists. In turn, tourists should respect the ways and traditions of the Omani people.
"
Latvia,"Latvia is a famous ancient trading point. The famous route from the Vikings to the Greeks’ mentioned in ancient chronicles stretched from Scandinavia through Latvian territory along the river Daugava to the Kievan Rus and Byzantine Empire.  Across the European continent, Latvia’s coast was known as a place for obtaining amber. In the Middle Ages amber was more valuable than gold in many places. Latvian amber was known in places as far away as Ancient Greece and the Roman Empire.  In the 12th century, German traders arrived, bringing with them missionaries who attempted to convert the pagan Finno-Ugric and Baltic tribes to the Christian faith. The Germans founded Rīga in 1201, establishing it as the largest and most powerful city on the eastern coast of the Baltic Sea. After independence in 1918, Latvia achieved considerable results in social development, economy, industry and agriculture. It has always been a multicultural melting point, where foreigners and locals worked together and brought prosperity to the country.  On June 16, 1940, Vyacheslav Molotov presented the Latvian representative in Moscow with an ultimatum accusing Latvia of violations of that pact, and on June 17 Soviet forces occupied the country. Elections for a ""People's Saeima"" were held, and a puppet government headed by Augusts Kirhenšteins led Latvia into the USSR. The annexation was formalized on August 5, 1940. During the time of the Iron Curtain, Latvia was a province of the Soviet Union, but the concentration of heavy industry was enormous. Contacts with the West were regulated. The Baltic region had the reputation of being the most urbanized and having the highest literacy rate in the Soviet Union. Latvia gained independence on September 6, 1991. Between 1991 and 2007 the country saw unprecedented economic growth. However, the global recession and the banking crisis hit Latvia brutally, and severe economic contraction and destructively high unemployment have returned.
 Because of a tribal past and divisions between occupying nations, there are regional differences between parts of Latvia which are interesting to explore. 
"
Mozambique,"Mozambique's eastern coastline along the Indian Ocean is more than 1,000 km long, a fantastic draw for scuba divers, fishermen, sailors and beach lovers.
 From the 2,436 m Monte Binga peak to the stunning beaches along the coast, Mozambique is a country of contrasts. As well as some of the best colonial era architecture and relics to be found on the continent, Mozambique has also preserved its African cultural heritage, which can be experienced through art, music and food.
"
Lao,"It is best not to try to learn Lao from local magazines, local books or the internet as they are sometimes fully Thai language (and completely not Lao). 
 Lao is a tonal language with six tones in the Vientiane dialect: low, mid, high, rising, high falling, and low falling.  Meanings are dependent on the tone, so try not to inflect your sentences; in particular, questions should be pronounced as flat statements, without the rising intonation (""...yes?"") typical to English questions.
"
Monaco,"This is the second smallest independent state in the world (after the Vatican) and is almost entirely urban.
 Monte Carlo is not the capital of Monaco but a government district. The country is divided into four areas: Monaco-Ville (the old city), the Condamine (port quarter), Monte-Carlo (business and recreation), and Fontvieille (recreation and light industry). With no natural resources to exploit other than its location and climate, the principality has become a resort for tourists and a tax haven for businesses. Monaco is six times the size of the Vatican and the world's most densely populated independent country.
"
Virgin Islands,"There is more than one place called Virgin Islands:
 
"
Turks and Caicos Islands,"The currency used in the island is the US dollar and the spoken language is English. Daylight savings time is observed and they are in the Eastern Time Zone. 
 There are eight main islands in the Turks and Caicos Islands,with Providenciales being the most developed and East Caicos the third largest not inhabited at all! Providenciales or Provo as we call it is the fourth largest and Grand Turk is the seat of government.From largest to smallest,Middle Caicos,North Caicos,East Caicos,Providenciales,South Caicos,Grand Turk,West Caicos and Salt Cay
"
Timor-Leste,"
 The eastern half of the island of Timor, East Timor, is a former Portuguese colony that declared itself independent from Portugal on 28 November 1975. Nine days later, Indonesian forces invaded and occupied the former colony, with the tacit approval of the United States and Australia. By July 1976 the colony had been annexed as the province of Timor Timur.
"
Somalia,"The country has the longest coastline on the African continent, and as such, has many beaches.
 Somalia was an unknown country for European explorers until the Portuguese explorers reached the coastal cities of Somalia on their way to India. They called it Terra Incognita, which means the unknown land. These new discoveries encouraged many other European navigators to sail on the Somali coasts. 
"
Saint Lucia,"The twin Pitons (Gros Piton and Petit Piton) are striking cone-shaped peaks south of Soufriere that are one of the scenic natural highlights of the Caribbean.
 Tourism is vital to Saint Lucia's economy. Its economic importance is expected to continue to increase as the market for bananas becomes more competitive. Tourism tends to be more substantial during the dry season (January to April). Saint Lucia tends to be popular due to its tropical weather and scenery and its numerous beaches and resorts.
"
Morocco,"Morocco is composed mainly of Arabs and Berbers or a mixture of the two. Sizeable numbers of Berbers live mainly in the country’s mountainous regions — long areas of refuge for them where they preserve their language and culture. Some segments of the population are descendants of refugees from Spain who fled from the Reconquista, the Christian reconquest of the Iberian Peninsula, in the 15th century.
 Morocco's long struggle for independence from France ended in 1956. The internationalized city of Tangier was turned over to the new country that same year. Morocco annexed much of the Western Sahara, a former territory of Spain, in 1975.
"
United Arab Emirates,"The legal drinking/purchasing age of alcoholic beverages is 18.
 The United Arab Emirates is a modern and dynamic country. To some, it is an advanced and clean country, to others a touristy ""Disneyland"". 
"
Tajikistan,"Mid-latitude continental, hot summers, mild winters; semiarid to polar in the Pamir Mountains.
 The Pamir and Alay Mountains dominate Tajikistan's landscape. The western Fergana Valley is in north, and the Kofarnihon and Vakhsh Valleys are in the southwest.
"
Burkina Faso,"
 Burkina Faso is one of the friendliest and, until recently, one of the safest, countries in all of Africa. Although it receives only a small number of tourists per year, it is an excellent destination for anyone interested in seeing a beautiful West African country and exploring African culture and music. As of Spring 2014, incoming tourism has been blocked due to epidemics and increased crime in the North.
"
Dominican Republic,"Not to be confused with the Caribbean island Commonwealth country of Dominica.
 The Dominican Republic is a Caribbean country that occupies the eastern two-thirds of the Caribbean island of Hispaniola.  The western one-third of Hispaniola is occupied by the country of Haiti. To the north lies the North Atlantic Ocean, while the Caribbean Sea lies to the south.
"
Yemen,"Yemen is on the southern tip of the Arabian Peninsula, and sharing borders with Saudi Arabia and Oman.  Yemen has had a troubled recent history with civil wars and tribal conflicts predominating.
 Yemen is a difficult country to get around, but the rewards for the persevering visitor are an unforgettable experience, populated with very friendly and open hosts. Despite being adjacent to Saudi Arabia and on the same peninsula as the United Arab Emirates, Yemen is definitely a place apart.
"
Cayman Islands,"Popular local gifts are Cayman Sea Salt and Cayman Logwood Products.
 The other two islands are called the Sister Islands by locals and are also tourist destinations. They are:
"
American Samoa,"American Samoa is an unincorporated territory of the United States of America. The citizens of American Samoa are US ""nationals"" and not US ""citizens,"" but they are allowed to travel freely between American Samoa and the US mainland.  They are not required to obtain green cards or visas to stay or work in the United States, and they are allowed to serve in the US armed forces (and often do). There are some ways that American Samoa's special status as an unincorporated territory has interesting legal consequences. The US Constitution is not necessarily the supreme law of the land in American Samoa, and Samoan cultural norms, in particular those related to the ownership of property and public displays of religion, actually trump certain well-settled US constitutional rights in American Samoa.
 The main city is Pago Pago and the smaller Fagatogo is constitutionally designated seat of government. The governor's office is located in the village of Utulei, located on the opposite side of Fagatogo from Pago Pago.
"
Andorra,"Madriu-Perafita-Claror Valley
 For 715 years, from 1278 to 1994, Andorrans lived under a unique co-principality ruled by the French chief of state and the Spanish bishop of Urgel. In 1993, this feudal system was modified with the titular heads of state retained, but the government transformed into a parliamentary democracy. Long isolated and impoverished, mountainous Andorra achieved considerable prosperity since World War II through its tourist industry. Many migrant workers (legal and illegal) are attracted to the thriving economy with its lack of income taxes.
"
Benin,"
 Benin is a great country to visit on any West African itinerary. You'll find a large quantity of palatial ruins and temples of the once powerful Kingdom of Dahomey (1800s–1894). Moreover, Benin is the birthplace of Vodun (Voodoo) and all that goes with it—to this day Vodun remains the official religion of the country, and an important part of the life of ordinary Beninese. The national parks of Benin are also well worth a visit for their wildlife. Benin is also, fortunately, one of the most stable and safe countries of the region for traveling.
"
Albania,"While the relative majority of the people in Albania are of Muslim background, there are also large minorities of people with Christian (either Orthodox or Catholic) backgrounds. Many Albanians, regardless of their background may be agnostic, and religious observance as a whole is relaxed (recent polling shows that only 30 to 40 percent are observant). Marriages between people of different religious backgrounds are very common and in some places, even the rule.
 Traditional Albanian culture honors the role and person of the guest.  In return for this place of honor, respect is expected from the guest. Albanians enjoy the long walks in the city streets, drinking coffee, and among the younger generations, participating in nightlife activities such as cafe lounging and dancing.
"
Aruba,"Aruba is divided into the north east and south west coasts.  The south west has the white sand beaches, turquoise seas, and warm waters.  The north east coast, exposed to the Atlantic, has a few white sand beaches, cacti, rough seas with treacherous currents, and a rocky coastline. The time in Aruba is Atlantic standard time; it is the same as Eastern Daylight Savings time all year round.
 The climate is tropical marine, with little seasonal temperature variation.  Because of its location south in the Caribbean there is very strong sun, but a constant light breeze keeps the temperature pleasant.  (These persistent winds out of the east shape the island's distinctive, lop-sided divi-divi trees.) The divi-divi trees have become a signature tree to Aruba's landscape. The weather is almost always dry, with most rain showers coming at night and lasting only a little while. Temperatures in Aruba do not change dramatically. Between the months of January and March the temperatures stay around 76-85 degrees; this being their high season. However starting in April and through December this is considered off season and temperatures do not change much beyond 79 and 88 degrees. It lies outside the zone usually affected by hurricanes.
"
Argentina,"Argentina is located in South America, and is the eighth-largest country in the world. The highest and the lowest points of South America are also located in Argentina: At 6,960m, Cerro Aconcagua is the tallest mountain in the Americas while Laguna del Carbón, at 105m below sea level, is the lowest point in the Americas. 
 At the southern tip of Argentina there are several routes between the South Atlantic and the South Pacific Oceans including the Strait of Magellan, the Beagle Channel, and the Drake Passage---as alternatives to sailing around Cape Horn in the open ocean between South America and Antarctica.
"
Belize,"World class attractions include exploring the lush jungles with exotic plants and animals, deep sea fishing, swimming, snorkeling and diving in the Caribbean sea with its attractive reefs, and visiting the Mayan ruins.  Income levels are still very low and the infrastructure is very basic. The Belizeans are very proud and friendly to visitors and the tourist industry grew greatly in the last decade.
 Like the neighboring parts of Guatemala and Mexico, this area was settled for thousands of years by the Maya people. They are still here, an important part of Belize's people and culture.  While the Spanish Empire claimed the area in the 16th century, the Spanish made little progress in settling here.  The British settled first on the coast and offshore islands for logging. In 1798 British Belizean forces defeated a Spanish attempt to drive them out in ""the Battle of St. George's Caye"", whose anniversary is still celebrated as a holiday each 10 September. 
"
Bahrain,"Bahrain is the smallest of the independent Persian Gulf states, and has often had to walk a diplomatic tightrope in relation to its larger neighbours. The country has few oil reserves, but it has established itself as a hub for refining as well as international banking, while also achieving a socially liberal (by Gulf standards at least) monarchy. Its economy depends to a small extent on Saudis interested in a little entertainment, not available in the strictly Islamic Kingdom of Saudi Arabia.
 Despite being much closer to Qatar, the Hawar Islands are part of Bahrain after a long, drawn out sovereignty dispute between the two nations.
"
Barbados,"
 Barbados has experienced several waves of human habitation. The first wave were of the Saladoid-Barrancoid group, farmers, fishermen, and ceramists who arrived by canoe from Venezuela's Orinoco Valley around 350 AD. The Arawak people were the second wave, arriving from South America around 800 AD. Arawak settlements on the island include Stroud Point, Chandler Bay, Saint Luke's Gully, and Mapp's Cave. According to accounts by descendants of the aboriginal Arawak tribes on other local islands, the original name for Barbados was Ichirouganaim. In the 13th century, the Caribs arrived from South America in the third wave, displacing both the Arawak and the Salodoid-Barrancoid. For the next few centuries, they lived in isolation on the island.
"
Bahamas,"
Arawak Indians inhabited the islands when Christopher Columbus first set foot in the New World on San Salvador Island in 1492. British settlement of the islands began in 1647; the islands became a colony in 1783. Since attaining independence from the UK in 1973, The Bahamas have prospered through tourism and international banking and investment management. Because of its geography, the country is a major transshipment point for illegal drugs, particularly shipments to the US, and its territory is used for smuggling illegal migrants into the US.
 The official language spoken in the Bahamas is English, however the dialect and slang is difficult for most Westerners and Europeans to understand, especially on the ""out islands.""
"
Bolivia,"Bolivia is a beautiful, geographically diverse, multiethnic, and democratic country in the heart of South America. It is surrounded by Brazil to the northeast, Peru to the northwest, Chile to the southwest, Argentina and Paraguay to the south. It shares with Peru control of Lake Titicaca (Lago Titicaca), the world's highest navigable lake (elevation 3,805 m).
 Sometimes referred to as the Tibet of the Americas, Bolivia is one of the most ""remote"" countries in the western hemisphere; except for the navigable Paraguay River stretching to the distant Atlantic, Bolivia and Paraguay are the only two landlocked nations in the Americas. It is also the most indigenous country in the Americas, with 60% of its population being of pure Native American ancestry.
"
Cabo Verde,"Despite its remoteness in elevation with all but 3 islands being mountainous, the lack of natural resources, its isolation from many other countries, and devastating famines in the later 20th century, Cape Verde has won a positive reputation in promoting what is considered the most stable democracy in Africa, a standard of living higher than most African nations, and one of the most politically liberal nations on the continent, and in the world. 
 Cape Verde (pop. 506,000) is located 500 km from the west coast of Africa.  The once uninhabited islands were discovered and colonized by the Portuguese in the 15th century; they subsequently became a trading center for African slaves and later an important coaling and re-supply stop for whaling and transatlantic shipping. Independence was achieved in 1975.
"
Botswana,"Botswana is famous for its wildlife, areas like the Chobe National Park, Moremi National Park in the Okavango Delta and the Central Kalahari Game Reserve have a very high concentration of game. 
 The bulk of the Kalahari desert falls within Botswana's borders and Botswana is home to most of the world's San (bushman) population.
"
Brunei Darussalam,"Brunei is a pint-sized and fabulously wealthy oil-rich sultanate with a population of 398,000 as of 2008.
 The Sultanate of Brunei's heyday occurred between the 15th and 17th centuries, when its control extended over coastal areas of northwest Borneo and the southern Philippines. Brunei subsequently entered a period of decline brought on by internal strife over royal succession, colonial expansion of European powers, and piracy. In 1888, Brunei became a British protectorate. It was offered to join Malaysia as a state in 1963, but opted out of the Federation due to a disagreement on the amount of its oil income that would have to be given to the central government in Kuala Lumpur. Independence was achieved in 1984. The same family has ruled Brunei for over six centuries.
"
Bulgaria,"Bulgaria is one of the few exotic nations of Europe, due to the fact that it boasts sublime beaches, lovely churches, winter sport opportunities, to name a few. Although it is not regularly visited compared to other European nations, it is a beautiful place, with a wide range of activities for a traveller to do. 
 Continental in the interior; cold, damp winters with snow in the higher elevations; hot and humid summers. 
"
Burundi,"Burundi covers 27,834km² with an estimated population of almost 8.7 million. Although the country is landlocked, much of the south-western border is adjacent to Lake Tanganyika, one of the deepest lakes in the world.
 Burundi is one of the ten least developed countries in the world and it has the lowest per capita GDP of any nation in the world. Burundi's low GDP rate is due primarily to civil wars, corruption, poor access to education, political instability and the consequences of HIV/AIDS. Cobalt and copper are among the nation's natural resources. Other resources include coffee, sugar and tea. 
"
Cameroon,"While Cameroon is not the largest country in Africa, in some ways it's as large as Africa itself. Known as ""Africa in miniature"" it features French and English speaking portions, Muslim and Christian dominated regions, the tallest mountain in West Africa and terrain that includes rain forest, desert plains, mountains and high plateau.
 Cameroon is a diverse and multi ethnic country. American tourism is rare; most of the country's tourists come from Europe (predominantly Belgium).
"
China,"With coasts on the East China Sea, Korea Bay, Yellow Sea, and South China Sea, in total it borders 14 nations. It borders Afghanistan, Pakistan (through the disputed territory of Kashmir), India, Nepal, Bhutan, Myanmar, Laos and Vietnam to the south; Tajikistan, Kazakhstan and Kyrgyzstan to the west; Russia and Mongolia to the north and North Korea to the east. This number of neighbouring states is equalled only by China's vast neighbour to the north, Russia.
 This article only covers Mainland China. For Hong Kong, Macau and Taiwan, please see separate articles.
"
Comoros,"Comoros has endured 20 coups or attempted coups since gaining independence from France in 1975. In 1997, the islands of Anjouan and Moheli declared independence from Comoros. In 1999, military chief Col. Azali seized power. He pledged to resolve the secessionist crisis through a confederal arrangement named the 2000 Fomboni Accord. In December 2001, voters approved a new constitution and presidential elections took place in the spring of 2002. Each island in the archipelago elected its own president and a new union president took office in May 2002.
 One of the world's poorest countries, Comoros is made up of three islands that have inadequate transportation links, a young and rapidly increasing population, and few natural resources. 
"
Colombia,"Pick a climate, and it's yours—if you find the light jacket weather of Bogotá cold, drive an hour down through the mountains and sunbathe next to the pool of your rented hacienda. If you don't want to sit still, head off into the Amazon or any of the country's other many inland jungles, snow-capped volcanoes, rocky deserts, endless plains, lush valleys, coffee plantations, alpine lakes, deserted beaches. 
 For culture, intellectual Bogotá might lead the rest of Latin America in experimental theater, indie-rock, and just sheer volume of bookstores, but you could also get a completely alien education in an Amazonian malocca, or you could delve into the huge Latin music scene of salsa and cumbia, with the most exciting dance display being the enormous Carnival of Barranquilla. 
"
Ecuador,"Cotopaxi is the world's highest active volcano. Many cities and sites in Ecuador are listed as UNESCO World Heritage Sites.
Such cities and best known places are the Galapagos Islands, and the city of Cuenca.
 The ""Republic of the Ecuador"" was one of three countries that emerged from the collapse of Gran Colombia in 1830 (the others being Colombia and Venezuela). Between 1904 and 1942, Ecuador lost territories in a series of conflicts with its neighbors. A border war with Peru that flared in 1995 was resolved in 1999.
"
Chile,"Prior to arrival of the Spanish in the 16th century, northern Chile was under Inca rule while the indigenous Mapuche inhabited central and southern Chile. Other indigenous tribes existed in the southern part(Tehuelche, Yagan, etc.,) but many of them died due to diseases and murder, or were mixed with the european immigrants. 
 Although Chile declared independence in 1810, decisive victory over the Spanish was not achieved until 1818, thanks to a joint attack with Rioplatense forces. After that, the Transandine Army headed to liberate Peru from Spanish forces, eliminating the spanish influence from the region.
"
Central African Republic,"Until the early 1800s, the peoples of the CAR lived beyond the expanding Islamic frontier in the Sudanic zone of Africa and thus had relatively little contact with outsiders. During the first decades of the nineteenth century, however, Muslim traders increasingly began to penetrate the region of the CAR and to cultivate special relations with local leaders to facilitate their trade and settlement in the region.  The initial arrival of Muslim traders in the early 1800s was relatively peaceful and depended upon the support of local peoples, but after about 1850, slave traders with well-armed soldiers began to penetrate the region. 
 European penetration of Central African territory began in the late nineteenth century during the so-called Scramble for Africa. The French, Belgian and British competed to establish their claims to territory in the Central African region. 
"
Curaçao,"Curacao has a tropical savannah climate, with little rain and warm temperatures throughout the year. Travelers will enjoy the low humidity and frequent breezes penetrating the heat of the day.
 One of the most notable things about the island is its culture. This Dutch island features building styles you'd find in the Netherlands, but painted in beautiful pastel shades. However, the people of the island have developed a culture, and even a language, of their own. Papiamentu (also spelled Papiamento), is the island's native Creole.
Papiamentu is a mixture of Portuguese, Spanish and Dutch, but with a very basic grammar. Official spelling has existed for only a few years.
"
Cyprus,"
 Cyprus gained its independence from the United Kingdom in 1960.  Despite a constitution which guaranteed a degree of power-sharing between the Greek Cypriot majority and the Turkish Cypriot minority, the two populations – with backing from the governments of Greece and Turkey, respectively clashed in 1974, with the end result being the occupation of the northern and eastern 40% of the island by Turkey.  In 1983, the Turkish-held area declared itself the ""Turkish Republic of Northern Cyprus"". So far, only Turkey recognizes the TRNC, while all other governments and the United Nations recognize only the government of the Republic of Cyprus over the whole island.  The UN operates a peacekeeping force and a narrow buffer zone between the two Cypriot ethnic groups.  Fortunately, open hostilities have been absent for some time, as the two sides (now with the growing involvement of the European Union) gradually inch towards a reunification of some sort.
"
Djibouti,"Djibouti's climate is very hot, humid and arid, especially in the summer. The summer heat is moderated, however, by a sustained breeze in the coastal city of Djibouti. From October to April, the temperature is cooler, with occasional rain. Cyclones from the Indian Ocean create heavy rains and flash flooding.
 Visas are required by most nationals. Those travelling on French and Singaporean passports can get a visa on arrival for 5,000 DJF, valid for one month. Transit visas are valid for 10 days and are available on arrival at the airport to nationals of the European Union, Scandinavian countries and the USA for 10.000 FDJ (about US$55). If you plan to enter by land you have to arrange for visas in advance. Visas can be obtained from neighbouring countries and where no Djibouti embassy exists, they can often be obtained from the French embassy. The types of visas include: Entry (visa de séjour); Tourist (visa de tourisme); Business (visa d’affaires); and Transit (visa de transit). 
"
Dominica,"Tropical; moderated by northeast trade winds; heavy rainfall.  Flash floods are a constant threat; destructive hurricanes can be expected during the late summer months. Great for long walks on the beach.
 Rugged mountains of volcanic origin.
"
